Quality,Difficulty,Grade,Comment
4.5,2.0,A-,"He's a great prof. Everyone loved him in our class. He's amusing and enthusiastic, I liked listening to his lectures. His accent is thick, and it was difficult to understand for the first two classes, but afterwards it wasn't a problem at all. I would definitely recommend him, he's a caring prof who's passionate about his subject. "
5.0,3.0,A-,"Great professor, will definitely be looking to take a class with him again. Lectures were always fun and informative. Don't listen to all the people saying they couldn't understand him, he is more then easy to understand. If you are fluent in English you will not have a problem. "
2.5,1.0,A-,"Material is easy. I can't understand anything he says, so there is no point to attending his lectures if the 3% iClicker marks aren't important to you.   Not to say he's not a good guy. He's pretty awesome. "
3.5,4.0,A-,Needs a while to get used to his accent.
2.5,5.0,A-,Useful material but very likely to lower your GPA. I would not take this class unless you need it for something specific.
5.0,2.0,A-,"No one can explain a concept as clearly as George. He's a wonderful prof; very kind and patient too. Labs were fun, classroom lectures  were lively, and if you ever go to his office hours your confusions will be swept away by his clarifications. Labs were relevant to student learning and he cracks jokes every once in awhile. Fantastic time in 213."
4.5,2.0,A-,Best professor.
4.0,2.0,A-,"I've had George 3 times already, and each time he has proven himself one of the best CPSC instructors at UBC. The accent at first may be difficult, and he has to backtrack a lot, but the most helpful and caring prof around!"
4.0,3.0,A-,"Amazing prof! Knows what he's talking about, negotiable and approachable in office hours, and once you get past the accent, will explain anything you ask well and passionately. Definitely taking another course with him."
4.0,1.0,A-,"George is rad, he has a little bit of an accent which honestly helps get you through how dry the course material can be at times.  I literally jumped for joy when I realized I had him again next semester."
5.0,2.0,A-,"Following George, you will achieve success easily!"
4.0,3.0,A-,I recommend taking this course with George - he put a lot of effort into the in-class examples. He has a bit of an accent but it only adds to the hilariousness of his jokes! Ops! He really seems to care that his students understand the material. It's a definite advantage for CPSC 313.
4.0,2.0,A-,"George is a really funny and caring professor who needs to get more sleep at night. His accent can be a bit difficult to understands and the lectures fairly dry from time to time but that's life. The course content gets progressively more difficult as it goes on. He can be very lenient. Don't bother asking him ""do you even lift?"" The answer is yes."
1.0,5.0,0,"The comment below me, that says he sucks? Well he does, AVOID UNDER ALL CIRCUMSTANCES IF POSSIBLE!!! I feel bad for the students who have to take his class, get ready to lose all interest in coding"
1.0,5.0,0,"In one line, quite possibly the worst teacher I've ever had. He will spend all lectures talking about memory, and then the midterm will have one question on it worth only 5%. Refuses to help, and isn't even nice about it. Single handedly made me lose interest in coding, which was my favorite topic prior to him. Highly unrecommended, just terrible"
1.0,5.0,0,"Completely useless prof, goes on tangents unrelated to the topic at hand regularly. Highly unrecommended."
1.0,4.0,0,"Hardly ever taught on code writing. Going for lectures is a waste of time since you won't learn much and to do the labs, you'll probably need to google most of the stuff or ask the TAs. The TAs are more helpful than he is."
1.0,4.0,0,"Ineffective instructor. Never taught anything about writing code. Tests were alright, but several labs had vague instructions and involved the use of material that you haven't even learned yet/ had minimal experience in, which then led to you having to google everything. Labs are also must-pass even though they're only worth 10%."
1.0,4.0,0,"Very poor lecturer.Sarcastic and condescending when replying to students. Taught a lot on theory but barely touched on actual code writing, leaving students to fend for themselves during lab sessions."
1.5,5.0,0,"be ready to learn the book by heart, and then add stuff discussed in class to it. If using Big C++ it's a good idea to read till chap 8 before classes start as you'll be expected to know everything by week 3 anyway. Lects are rambles with very few concrete ideas put forth in articulate form. Wont do much to encourage an interest in comps/programmin"
2.0,3.0,0,Course felt completely disorganized. Will not teach you fundamental coding. You'll do better with online tutorials. Definitely not familiar with technical writing or good lab/lecture formatting. avoid him if possible. Thankfully there is now an alternative instructor!!! Everyone's poor ratings are accurate.
1.5,4.0,0,"Extremely boring and tedious assignments, labs and lectures.    He'll teach you lots of definitions and theories on good programming practice, but unfortunately he won't actually teach you anything practical."
2.0,3.0,0,boo
4.5,2.0,0,Very clear in explaining the concept. One of the most useful courses!
4.5,2.0,0,"Very thorough teacher.  I had no prior knowledge of C++, but it does not matter with this teacher.  Just keep up with the assignments and pay attention in class and you will see he does teach the material very well.  I did not even own the textbook and still managed to get 89% with just his lecture slides.  Definitely recommend him for the future."
1.0,4.0,0,Pretty confusing professor and WAY too long-winded (the labs and assignments feel like novels). He should probably take APSC 201 and learn a little something about the importance of being concise. The course itself also expects us to already know C++ after taking one course in C which was pretty useless as well...
1.0,5.0,0,"The course is not designed well at all, and the prof doesn't do anything to make it any better. His teaching is good in no aspects, and lacking in all. It's a shame the course is mandatory, because you'd learn more spending a bit of time on google."
1.0,5.0,0,"Probably the worst prof. I've ever had. Honestly, students should not be subjected to his lecturing. I hope no one ever has to listen to him again."
1.0,5.0,0,Avoid this prof at all costs.
2.0,3.0,0,"the course itself has more problems than the prof does. The main problem is the big gap b/w apsc160&cpsc260 for people who don't have c++ background. EECE department needs to do something about it. e.g.split it into two courses.but, the prof himself is not effective. he knew the stuff well, but he didn't know deliver the knowledge to the students."
1.5,2.0,0,Very ineffective prof. Presentations are unclear and too much irrelavent talking in class. Course materials are inorganized. Expect to learn everything by yourself. Try your best doing the labs/assignments since midterms/finals are heavily based on them. WebCT is really helpful too when you have questions or want to look up stuffs.
1.0,5.0,,- worst prof ever.  it's like he hypnotizes you into sleeping during lectures by making the simplest concept so convoluted and confusing that eventually causes the entire class to pass out. Successfully discouraged students from enjoying programming. Effective demotivator. Arrogant and has poor course structure.
4.5,3.0,,"Pretty interesting prof. Extremely helpful on webct once you ask a question. Lectures are interesting and make sense, though he often goes off topic a little by using weird analogies. Assignemts are hard, but extremely helpful to understanding."
5.0,1.0,0,Great guy!
5.0,3.0,0,"Great Prof, too bad he only did one class, if he teaches again definitely sign up."
5.0,4.0,0,"I love this guy. Seems like a genius, super clear, and very human. He's the guy that invented WebCT. Murray, will you father my child? :-)"
5.0,2.0,0,OMG do yourself a favour and take a course with him. He is so passionate about teaching that I can feel the energy coming from him. Really helpful after class and very clear in teaching. He is really knowledgeable and can communicate it effectively. LOved his class. Probably the best prof I has so far.
5.0,3.0,,"definitly recommend taking 315 with him.
 best damn prof around"
5.0,2.0,,"Excellent Professor.  He's energetic, enthustiastic, and brings clarity to the topic he discusses.  His Silicon Chalk program still needs some kinks worked out but having full recordings of his lectures definately helped my studies."
5.0,2.0,,"Awesome teacher with great enthusiasm and interest in the course.  Exams were fair and assignments, though challenging, actually made you learn stuff."
5.0,2.0,,Best teacher I've ever had.
4.0,2.0,,one of the best com sci prof. super-energetic! I really love his lecture :)
5.0,1.0,,"Great prof.  One of the 3 best at UBC imo.  Very helpful after class if you need it, but you probably won't because his explanations are great.  If you come to the lectures, you shouldn't have any problems with the tests either."
4.5,3.0,N/A,A motivated and energetic proff.  Interacts well with students and stimulates to think.
4.5,1.0,,He's a great teacher. I definately recommend taking CPSC 315 with him.
5.0,2.0,,"Excellent guy; often away on business.  Fun, clear lectures, and exams are *NOT* particularly difficult.  Routinely disorganized.  Strongly recommended"
3.0,3.0,,"When the professor is absent for more than a month during a 4-month term, nothing can be interesting -it's because he is the CEO of his own company... Maybe we have not paid enough to have a full time professor."
3.5,4.0,,Can't really ask for more. He said he loves teaching. Exams are hard.
1.5,4.0,,"Not organized, comes poorly prepared to class, rumbling, difficult to follow in lectures."
1.0,4.0,,"Absolutely terrible! The workload unjustified, and examples non-sensical."
4.5,1.0,,Very helpful and very fun. One of the best prof in compsci
5.0,2.0,,"great prof, usefull and interesting course"
4.5,3.0,,"Busy on his CEO job, so have little time for the course, but good at teaching"
1.0,3.0,A,"exams are interesting. that said he isn't a miracle worker, it's calculus and you need to do your own studying. If class was mandatory I wouldn't take him, but if you know calculus inside out and skip class he's passable"
1.5,4.0,A,really boring
1.0,5.0,A,Just terrible.
2.5,4.0,D,"Prof. Peterson is a brilliant man, but unfortunately, this doesn't translate to his teaching skills. He has a bad habit of cramming content onto a single blackboard making it difficult to read, and he still mumbles to the class. He did however recently move towards a typed exam papers. Based off past reviews here, he has shown large improvement."
4.0,3.0,D,He makes good explanation to every point we need to learn
1.5,4.0,D,"Awful prof, you will NOT learn a thing from him."
1.0,3.0,N/A,"He has no office hours, and he doesn't reply to e-mails very well. He seems to be busy after lectures to ask questions and doesn't show up to lectures until 2-3 minutes beforehand. His lectures are long, and although he is very knowledgeable, his explanations aren't always clear. Also, he uses the blackboard and his writing can get very messy."
1.0,3.0,N/A,"Stats major so I've taken a lot of Math courses. Peterson is definitely the worst prof I've never had. His writing are messy and lectures are boring and useless. He is knowledgeable, but  he is not good at teaching. If you wanna get ok mark, READ the textbook by yourself."
3.5,3.0,N/A,I do not understand why he gets such a bad rep. He is really clear in his teaching and passionate about his subject. His office hours are fantastic.
3.5,3.0,N/A,Always nice and helpful the few times I talked to him in-class. Doesn't use iclicker. Lectures are understandable but not needed to get a decent grade.  Course website is very helpful with plenty of information and problems.                     
1.0,5.0,N/A,I was verbally abused by this man. He should not be teaching. I strongly urge you to be careful if you are talking to him alone in person.
1.0,5.0,N/A,Really boring and talks too much about something pretty obvious instead of core concepts
5.0,3.0,N/A,"A fast talker, but a good teacher."
3.5,3.0,B,Prof Peterson gets a bad rep. Lots of students don't like him because he doesn't take their crap when he is teaching. (i.e. if people are talking when he is lecturing he tells them off). He is a good math prof where it matters. He is knowledgeable and good at proving where the math comes from instead of just giving formulas. go to his office hours!
1.0,5.0,B,Horrible..... Just plain horrible
1.0,5.0,B,"DO NOT TAKE! WORST PROF EVER AT UBC! he fell asleep in front of me during an office hour, very unprofessional and could not answer my questions"
1.0,5.0,B,"the worst prof I've ever had at UBC, no comparison, unbeatable! rude in class, ignore students' questions,etc. He almost made me give up math. My nightmare at UBC"
1.0,5.0,B,"writing this review in class, this is the worst prof I have ever had."
1.0,5.0,B,"Enjoys rushing through materials, and unwilling to match the learning pace of students. Results in tendency to NOT answer questions, and jarring differences in exam vs course materials. Also has a fondness for mumbling, hence often blames students for ignoring his instructions (even though his audible range is 3 feet in front of him). AVOID! AVOID!"
1.0,5.0,B,AVOID. AT. ALL. COST.
1.0,5.0,0,I trusted all those good reviews but I felt the exact opposite...
5.0,4.0,0,"Katherine Sirluck is amazing. She sincerely cares for the wellbeing and improvement of every students' work, strives for the best way to be helpful to her students, and writes the best constructive feedback that students can actually improve from. She is by far the most insightful professor I have ever taken a class in. I learned so much from her."
5.0,3.0,0,"Dr Sirluck is so engaging and inspiring! She chooses great literary works to study, shares with us her reading of the work, and encourages everyone to share their own interpretation, accepting all of them despite how vastly different they may be. She's very critical but leaves lots of good feedback, and prompts us to think further in discussions."
5.0,3.0,A+,"Sirluck is incredible, not least because she's able to make 17th century lit a fascinating subject; her lectures are downright masterworks of eloquence, though if you don't pay attention you will lose the plot; the class average was quite high, so she is not too tough a marker, or rather she is generous and open-minded, unlike many profs out there"
5.0,3.0,A+,"Honestly, one of the best professors I've had to date. I've never been overly interested in classical literature before, but she took texts that bored me to death when I'd been forced to study them before and lit them on fire. She's great."
5.0,3.0,A,"These reviews are the reason I enrolled in English 220, I was looking for something along those lines for an elective and couldn't miss the chance. Let me tell you, it's all true. Dr. Sirluck is simply the best. The course changed the way I relate to the world by encouraging me to think about it through the eyes of literature and history. Take it!"
5.0,3.0,A,"Really, really good lecturer. I've never really been into classical literature before, but I thoroughly enjoyed going to her classes."
5.0,4.0,A,"Top five if not the top of all English profs throughout my years at UBC. Highly recommend. Above all, shes fair, quick with good advice, funny and brilliant!"
4.0,3.0,A,"Super fun to listen to. Makes the texts come alive with her theatrical, dramatic readings and always engages students. She does make a ton of references that you will not get if you don't do the readings, but will undoubtedly accept any views that you have as long as you back them up. Very encouraging of independent thought, and quite funny."
5.0,3.0,A-,"Dr. Sirluck renewed my passion for my degree. Her intelligence and knowledge about Shakespeare was truly inspirational. I learned so much in every lecture and she was genuinely respectful of students, wanted to help you learn and succeed, and was born to be a teacher. Her sense of humour made every class enjoyable. The best prof I've ever had."
5.0,3.0,A,"Sirluck is without a doubt one of the best profs i've ever had. Coming into the class, I was worried it would be boring (literature up to the 18th century) but Sirluck made each reading and lecture super interesting! She allowed student discussion to bring up points she might not agree with, but still treated the opinions as valuable."
5.0,1.0,A,Professor Sirluck is the best professor of all time... aside from maybe one or two others.  Definitely the most charismatic and enthusiastic.
4.5,3.0,A,Prof. Sirluck is an amazing lecturer! I felt like I left every class having learned a lot (which can be pretty rare with a lot of English profs). Classes are always interesting and engaging and you can tell she's really passionate about the material. Very fair marker. Definitely take her class if you get the chance.
3.0,2.0,A,"Her lectures are quite informative, but I really don't understand what all the hype is about. There are many English profs at UBC who are as equally, if not more, insightful and interesting. I personally found her to be quite intimidating and condescending during office hours as well."
5.0,3.0,A,"Dr. Sirluck was fantastic-- interesting lectures with lots of discussion, really made an effort to make everything interesting. She is a very fair marker and gives great feedback. If you put in the extra work, it does not go unnoticed! She's absolutely fabulous."
4.5,2.0,N/A,"Lectures flow organically and are highly interesting and engaging. She is brilliant, witty, and has an amazing grip on the content, but is not intimidating. Rather she is inspiring and fosters a wonderful creative environment. Easy marker too, which is so rare for a prof this good! Being in her class is a privilege, I can't wait to take more."
5.0,3.0,N/A,"Prof Sirluck is absolutely in LOVE with Shakespeare, and her passion is contagious! Really encourages participation, had mini-performance groups and marks fairly based on the clarity and strength of your argument, rather than whether she agrees with it or not. She's the kind of teacher you dream of having!!"
4.5,2.0,N/A,She's a fair marker and I loved her classes. She made Shakespeare fun and lectures were very detailed. You'll learn a lot
5.0,2.0,N/A,She reminds me of Kate Bush—she is the Kate Bush of the English Department. Lovely. Wonderful. Somewhat eerie.
5.0,2.0,N/A,"Was wary after the first few classes as she seemed very opinionated, but quickly changed my mind! Extremely passionate about Shakespeare but is willing to accept any view or opinion as long as you have a solid argument for it. Despite critical feedback on assignments, she marks fairly well depending on the strength of your argument. Great prof!"
3.0,3.0,A+,Content of class is the same for every section. The class was mainly him talking bout the french language and its history and then a group in-class exercises for practice that were actually useful but don't count for grade. If you want a good grade you gotta work outside class. Class was boring tho.
4.0,2.0,A+,"Professor O'Hagan may seem a little self-important at times, but I honestly don't think that it's that bad, he's just a realistic dude. Honestly, he wants you to do well, and he'll give you every opportunity to get an A if you do the homework (which isn't heavy). He's also very specific about what you need to do, and it isn't that hard."
1.0,5.0,N/A,Worst class you'll take at UBC
5.0,2.0,N/A,Dr. O'Hagan was such a sweetheart I loved having him as a professor. He could be a little condescending at times but I felt that he really cared about whether or not his students understood his lectures. Definitely would recommend.
2.5,5.0,N/A,"Was a B student in French before O'Hagan and now I am barely passing. I think he makes his tests much harder than any previous teachers I have had. Same goes for his compositions, which are very difficult and marks hard on them.    50 % for a final? And at his difficulty? good bye gpa :( Avoid if you can."
2.5,3.0,A,"Decent prof, bad guy. 3 Tests: ALL functions, nature of words. Other lessons hardly tested. He likes French & is decently clear, so an A or B is doable. But he's snobby, blunt & unaccommodating.  He lost my test, no apology. Expressed doubt toward my French ability based on previous grades years ago - so unencouraging. Got an A tho. Take that. "
2.0,4.0,A,Great prof!
5.0,3.0,A,"At first, he was intimidating but throughout the course he has gone to show how much passion he has for the subject. He was very helpful when asked and really was very dedicated to the subjects on hand. I truly enjoyed the class and think he is a wonderful character and a great prof!"
4.0,3.0,A,"Prof. O'Hagan knows the french language, linguistics, and general language history very well.You will get a lot of use of the textbook, and the online site. if you want to achieve high marks in his class, it is not hard but you have to put in the work like all other classes. He can be a little cranky if you approach him before class, but afters ok"
5.0,3.0,A,"Great prof! Very grammar focused, but teaches it well. As a science student, I was worried that it might drop my GPA but my French writing has become much better after attending this class and I have no regrets taking it."
5.0,3.0,A,"Great prof! Explains things perfectly and really puts obvious effort into his lessons.He won't use the textbook you have to buy, but he makes that clear. He does follow the online one. If you are trying to get easy marks, this is not the class for you. He makes sure you deserve your mark, and that is part of why he's such a great prof."
5.0,2.0,A,"O'Hagan teaches French and its grammar very clearly even for those who don't know grammar in say English. And since his native language is English, he knows where anglophone students are coming from. So he knows when to give a translation for a difficult word, unlike the native french profs. I wish he taught all the french grammar courses."
2.0,5.0,A,If you do not have prior experience in a French immersion setting do not take O'Hagan's class. His primary focus is grammar. Extremely challenging to do well without a solid foundation in French (above and beyond high-school/college level exposure). Avoid. Avoid. Avoid.
2.0,3.0,A,Seems like a knowledgeable and passionate man for a French professor but teaches grammar lessons orally with little or no use of visual aid. He also digresses at length about material marginally related to the course. Attendance was not that helpful for test review and independent learning is necessary for success in course.
4.0,3.0,A,"O'Hagan is a good teacher. I can't say his class was interesting, but that is the fault of the extremely dry course material. He is clear and willing to go over things multiple times. He is a fair marker, as the marks on compositions are calculated mathematically by the number of errors made."
3.5,5.0,A,"It's obvious that he is passionate about the language, and very familiar with grammar rules. It is tough to ask him questions when you don't understand something though, because he tends to get caught up in the grammatical errors of your question itself, and then get completely sidetracked. Tough marker too, do not take this class for easy marks!"
5.0,3.0,A,"Professor O'Hagan is very detailed, informative, and engaging. I'm pursuing French above the 102 level and I'm hoping to find a lecture he's teaching."
5.0,3.0,A,"I could tell many in my class didn't enjoy Professor O'Hagan's teaching, but I feel very fortunate to have attended. Maybe his old-fashioned mannerisms make him an awkward teacher, but his instruction was meticulous and interesting. He is definitely the best professor I've ever had."
3.0,2.0,A,"Kind and respectable man but not exactly the best at teaching :( His English accent is quite noticeable despite his fluency in French, and sometimes it's a bit unclear of what he's talking about. Markwise, he's quite reasonable, I ended up with an A-."
3.5,4.0,A,Willing to go out of his way to help students understand the material. Passionate about the language. Loud and enthusiastic.
5.0,3.0,0,Excellent prof! Well-organized course materials and always helpful
5.0,1.0,0,Great prof Always there to help when you need it. Just sent and e-mail and she was always there from me.
4.5,4.0,0,Great prof. Course gets tough and confusing sometimes but she's always there for you...
4.5,3.0,0,Lecture is slow and boring but prof is clear. Very helpful office hours.
4.0,3.0,A-,"Extremely knowledgeable, spends tons of effort helping students learn, effective in teaching the material (she goes really fast - but I think it's because there's a lot of ground to cover!). Really cool personality and is one of the nicest profs! Office hours helped a lot in gaining understanding/help with the course."
4.0,2.0,A-,The lectures were clear and she was accessible. There were too many lecture labs for my taste though.
4.5,3.0,A-,"Dr. Murphy did a fantastic job teaching CPSC 210. It was not an easy course, but she was really good at explaining concepts. Go to her office hours if you're confused about something. She's a total sweetheart and would be more than willing to help you. ABout the class, it's a bit difficult, but doable."
5.0,1.0,A-,"Best prof ever! She is very patient with her students, she responds very fast to either email or Piazza questions. Also very considerate of her students, one of the nicest profs ever. The tests are reasonable."
5.0,3.0,A-,Very clear & helpful in understanding material.
5.0,3.0,,Our class was hillarious and she did quite an effective job of teaching the subject. (running dinosaur anyone?)
1.5,4.0,,"Lectures were of little use both for the project and for future. Forget about asking her questions, she'll say things like ""reinstall"", ""try again"", ""check the web""..."
3.0,5.0,,"Lost 6% after taking the final, must have been some kind of scaling at the end. Didn't appreciate that."
3.0,5.0,,No Comments
5.0,1.0,,Awesome teacher. One of the best course I've taken.
5.0,1.0,,whatcha guys talking about? shes cool!
3.0,4.0,,"Boring voice, but she knows her stuff."
5.0,3.0,,No Comments
2.0,5.0,,she is okay in class. but took 5% off my course for forgeting to attach 2 pics with the assignment
3.0,3.0,,Quite arrogant and confrontational. Wouldn't want to meet her in a back alley...
4.5,2.0,,Great teacher who loves to help her students.
4.5,3.0,B+,One of the best prof at Rotman. Even after graduation I remembered his classes well. Very articulate guy with a great sense of humor. Sometimes attending his class makes me feel like I'm in court. Great experience!
1.0,5.0,B+,I am not sure how this guy is even allowed to be in the classroom. 
2.5,4.0,B+,"Popular because his lectures are hilarious, but you think he's great until he decides that it's your turn to be picked on. In short, a bit of a bully.  Also very unclear on grading criteria. Groups who made clear, concise, insightful presentations received the exact same grades as groups who went overtime and were all over the place. Unfathomable"
3.0,4.0,,"He's not really a good prof, many thinks so (mostly girls).  But his marking is too tight.  Ego too big, respect girls more than guys.  Go to Shear's class, you'll do better in the exams."
4.0,3.0,,Great Prof.
5.0,3.0,,"A Great Prof all around, keeping school interesting and fun.  Witty Jokes, stories and bonus marks for 'rogues obscond'!  Good real life tips free of charge from a lawyer!"
2.0,3.0,,he's egotistical and thinks he's hot****. not a bad teacher though.
2.0,4.0,,"Expect a low B, no matter how hard you work, you're just gonna end up w/ that.  He loves putting ppl down and pick on ppl, especially if you are a guy."
4.5,1.0,,"great prof... very approachable and willing to help! Uses great, real-life examples in class"
5.0,1.0,,drives a nice looking BMW like the 007 model
4.5,4.0,,"Smart guy, but that doesn't take away that he is a **** having a mid-life  crisis."
5.0,2.0,,Great professor I wish I was a management student so that i could have more classes with him
3.0,3.0,,"powers has his favorites in the class. only if you suck up, you'll get a fair grade."
5.0,3.0,,No Comments
5.0,2.0,,No Comments
4.0,3.0,,No Comments
4.0,2.0,,Aim for a B... b/c that's what you'll end up getting. Go to lectures... it helps
4.0,2.0,,loud - keeps you awake in class
5.0,1.0,,"Bird course, reiteration of OAC bus., interesting lectures"
4.5,4.0,,"exams aren't easy, but interesting lecture, keep you awake"
5.0,4.0,0,A genius. I love this woman. I've taken many of her courses and she was brilliant in all of then. I love her tangents and her never ending wealth of knowledge.
4.0,2.0,0,One of the best lecturers and the most hilarious professor I've had at UofT! She's fairly easy-going and gave straightforward assignments (plus no final exam).
4.5,4.0,0,"Wonderful professor. Goes on slight tangents, but is so bright and witty."
5.0,2.0,0,I LOVE HER!!!
4.5,1.0,0,"Easy: only evaluation was one essay per semester, with attendance and participation. Friendly and unintimidating (and liberal). Committed and knowledgeable. Didn't take notes, as we were not tested at all, it made it difficult to listen, and her talks were engrossing. Lots of class involvement, and was available outside of class for questions."
5.0,1.0,0,"really giving, challenging"
5.0,2.0,0,"That's just wrong. I took all the courses I could with Prof Legge. Funny, yes, but totally smart, challenging with theory and ideas, and really makes time for students."
4.5,3.0,0,"An awesome professor. Incredibly witty, intelligent, humourous, honest, clear, and down-to-earth. She knows her stuff, and even more importantly, knows how to communicate it in an accessible, engaging way. She even managed to interest me in postmodernism, which is a feat not to be looked down upon."
5.0,2.0,0,"she is freakin awesome! sooo funny and incredibly intelligent, i wish i could take every course with her!"
4.5,2.0,,very enthusiastic and interesting... she knows what she's talking about but doesn't talk down to students.  encouraging and willing to help.  excellent professor.
4.5,3.0,,"Simply amazing professor- passionate, ridiculously intelligent, and engaging. Take any course you can with her!"
5.0,2.0,,She is an amazing professor!  She is extremely helpful and really cares!  She is always there to help with questions and makes sure you are marked fair!  Class was always fun and she makes it interesting!
4.5,3.0,,"She is simply the best. As another comment wrote earlier, U of T profs take note: she is what teaching is all about in the very best sense.  Thank you Prof. Legge"
5.0,1.0,,"Attn: UofT Professors, take note from Professor Legge - one the best teachers in the world!  She is extremely helpful and always makes sure you understand.  She made class fun and you always wanted to be there!  She needs to win an award for being this good!"
5.0,2.0,,"Professor Legge was excellent. She was witty, intelligent, and poignant. As I was new to art history, she was willing to provide extra help. She was one of the best lecturers - never dull. She did, however, rush at the end of the course making it difficult to prepare for the final exam."
