Prof Name,Quality,Difficulty,Grade,Comment
George Tsiknis ,5.0,3.0,N/A,"Great professor, will definitely be looking to take a class with him again. Lectures were always fun and informative. Don't listen to all the people saying they couldn't understand him, he is more then easy to understand. If you are fluent in English you will not have a problem. "
George Tsiknis ,2.5,1.0,N/A,"Material is easy. I can't understand anything he says, so there is no point to attending his lectures if the 3% iClicker marks aren't important to you.   Not to say he's not a good guy. He's pretty awesome. "
George Tsiknis ,3.5,4.0,N/A,Needs a while to get used to his accent.
George Tsiknis ,2.5,5.0,N/A,Useful material but very likely to lower your GPA. I would not take this class unless you need it for something specific.
George Tsiknis ,5.0,2.0,N/A,"No one can explain a concept as clearly as George. He's a wonderful prof; very kind and patient too. Labs were fun, classroom lectures  were lively, and if you ever go to his office hours your confusions will be swept away by his clarifications. Labs were relevant to student learning and he cracks jokes every once in awhile. Fantastic time in 213."
George Tsiknis ,4.5,2.0,N/A,Best professor.
George Tsiknis ,4.0,2.0,N/A,"I've had George 3 times already, and each time he has proven himself one of the best CPSC instructors at UBC. The accent at first may be difficult, and he has to backtrack a lot, but the most helpful and caring prof around!"
George Tsiknis ,4.0,3.0,N/A,"Amazing prof! Knows what he's talking about, negotiable and approachable in office hours, and once you get past the accent, will explain anything you ask well and passionately. Definitely taking another course with him."
George Tsiknis ,4.0,1.0,N/A,"George is rad, he has a little bit of an accent which honestly helps get you through how dry the course material can be at times.  I literally jumped for joy when I realized I had him again next semester."
George Tsiknis ,5.0,2.0,N/A,"Following George, you will achieve success easily!"
George Tsiknis ,4.0,3.0,N/A,I recommend taking this course with George - he put a lot of effort into the in-class examples. He has a bit of an accent but it only adds to the hilariousness of his jokes! Ops! He really seems to care that his students understand the material. It's a definite advantage for CPSC 313.
George Tsiknis ,4.0,2.0,N/A,"George is a really funny and caring professor who needs to get more sleep at night. His accent can be a bit difficult to understands and the lectures fairly dry from time to time but that's life. The course content gets progressively more difficult as it goes on. He can be very lenient. Don't bother asking him ""do you even lift?"" The answer is yes."
Kellogg Booth ,1.0,5.0,N/A,"The comment below me, that says he sucks? Well he does, AVOID UNDER ALL CIRCUMSTANCES IF POSSIBLE!!! I feel bad for the students who have to take his class, get ready to lose all interest in coding"
Kellogg Booth ,1.0,5.0,N/A,"In one line, quite possibly the worst teacher I've ever had. He will spend all lectures talking about memory, and then the midterm will have one question on it worth only 5%. Refuses to help, and isn't even nice about it. Single handedly made me lose interest in coding, which was my favorite topic prior to him. Highly unrecommended, just terrible"
Kellogg Booth ,1.0,5.0,N/A,"Completely useless prof, goes on tangents unrelated to the topic at hand regularly. Highly unrecommended."
Kellogg Booth ,1.0,4.0,N/A,"Hardly ever taught on code writing. Going for lectures is a waste of time since you won't learn much and to do the labs, you'll probably need to google most of the stuff or ask the TAs. The TAs are more helpful than he is."
Kellogg Booth ,1.0,4.0,N/A,"Ineffective instructor. Never taught anything about writing code. Tests were alright, but several labs had vague instructions and involved the use of material that you haven't even learned yet/ had minimal experience in, which then led to you having to google everything. Labs are also must-pass even though they're only worth 10%."
Kellogg Booth ,1.0,4.0,N/A,"Very poor lecturer.Sarcastic and condescending when replying to students. Taught a lot on theory but barely touched on actual code writing, leaving students to fend for themselves during lab sessions."
Kellogg Booth ,1.5,5.0,N/A,"be ready to learn the book by heart, and then add stuff discussed in class to it. If using Big C++ it's a good idea to read till chap 8 before classes start as you'll be expected to know everything by week 3 anyway. Lects are rambles with very few concrete ideas put forth in articulate form. Wont do much to encourage an interest in comps/programmin"
Kellogg Booth ,2.0,3.0,N/A,Course felt completely disorganized. Will not teach you fundamental coding. You'll do better with online tutorials. Definitely not familiar with technical writing or good lab/lecture formatting. avoid him if possible. Thankfully there is now an alternative instructor!!! Everyone's poor ratings are accurate.
Kellogg Booth ,1.5,4.0,N/A,"Extremely boring and tedious assignments, labs and lectures.    He'll teach you lots of definitions and theories on good programming practice, but unfortunately he won't actually teach you anything practical."
Kellogg Booth ,2.0,3.0,N/A,boo
Kellogg Booth ,4.5,2.0,N/A,Very clear in explaining the concept. One of the most useful courses!
Kellogg Booth ,4.5,2.0,N/A,"Very thorough teacher.  I had no prior knowledge of C++, but it does not matter with this teacher.  Just keep up with the assignments and pay attention in class and you will see he does teach the material very well.  I did not even own the textbook and still managed to get 89% with just his lecture slides.  Definitely recommend him for the future."
Kellogg Booth ,1.0,4.0,N/A,Pretty confusing professor and WAY too long-winded (the labs and assignments feel like novels). He should probably take APSC 201 and learn a little something about the importance of being concise. The course itself also expects us to already know C++ after taking one course in C which was pretty useless as well...
Kellogg Booth ,1.0,5.0,N/A,"The course is not designed well at all, and the prof doesn't do anything to make it any better. His teaching is good in no aspects, and lacking in all. It's a shame the course is mandatory, because you'd learn more spending a bit of time on google."
Kellogg Booth ,1.0,5.0,N/A,"Probably the worst prof. I've ever had. Honestly, students should not be subjected to his lecturing. I hope no one ever has to listen to him again."
Kellogg Booth ,1.0,5.0,N/A,Avoid this prof at all costs.
Kellogg Booth ,2.0,3.0,N/A,"the course itself has more problems than the prof does. The main problem is the big gap b/w apsc160&cpsc260 for people who don't have c++ background. EECE department needs to do something about it. e.g.split it into two courses.but, the prof himself is not effective. he knew the stuff well, but he didn't know deliver the knowledge to the students."
Kellogg Booth ,1.5,2.0,N/A,Very ineffective prof. Presentations are unclear and too much irrelavent talking in class. Course materials are inorganized. Expect to learn everything by yourself. Try your best doing the labs/assignments since midterms/finals are heavily based on them. WebCT is really helpful too when you have questions or want to look up stuffs.
Kellogg Booth ,1.0,5.0,N/A,- worst prof ever.  it's like he hypnotizes you into sleeping during lectures by making the simplest concept so convoluted and confusing that eventually causes the entire class to pass out. Successfully discouraged students from enjoying programming. Effective demotivator. Arrogant and has poor course structure.
Kellogg Booth ,4.5,3.0,N/A,"Pretty interesting prof. Extremely helpful on webct once you ask a question. Lectures are interesting and make sense, though he often goes off topic a little by using weird analogies. Assignemts are hard, but extremely helpful to understanding."
Murray Goldberg ,5.0,1.0,N/A,Great guy!
Murray Goldberg ,5.0,3.0,N/A,"Great Prof, too bad he only did one class, if he teaches again definitely sign up."
Murray Goldberg ,5.0,4.0,N/A,"I love this guy. Seems like a genius, super clear, and very human. He's the guy that invented WebCT. Murray, will you father my child? :-)"
Murray Goldberg ,5.0,2.0,N/A,OMG do yourself a favour and take a course with him. He is so passionate about teaching that I can feel the energy coming from him. Really helpful after class and very clear in teaching. He is really knowledgeable and can communicate it effectively. LOved his class. Probably the best prof I has so far.
Murray Goldberg ,5.0,3.0,N/A,"definitly recommend taking 315 with him.
 best damn prof around"
Murray Goldberg ,5.0,2.0,N/A,"Excellent Professor.  He's energetic, enthustiastic, and brings clarity to the topic he discusses.  His Silicon Chalk program still needs some kinks worked out but having full recordings of his lectures definately helped my studies."
Murray Goldberg ,5.0,2.0,N/A,"Awesome teacher with great enthusiasm and interest in the course.  Exams were fair and assignments, though challenging, actually made you learn stuff."
Murray Goldberg ,5.0,2.0,N/A,Best teacher I've ever had.
Murray Goldberg ,4.0,2.0,N/A,one of the best com sci prof. super-energetic! I really love his lecture :)
Murray Goldberg ,5.0,1.0,N/A,"Great prof.  One of the 3 best at UBC imo.  Very helpful after class if you need it, but you probably won't because his explanations are great.  If you come to the lectures, you shouldn't have any problems with the tests either."
Murray Goldberg ,4.5,3.0,N/A,A motivated and energetic proff.  Interacts well with students and stimulates to think.
Murray Goldberg ,4.5,1.0,N/A,He's a great teacher. I definately recommend taking CPSC 315 with him.
Murray Goldberg ,5.0,2.0,N/A,"Excellent guy; often away on business.  Fun, clear lectures, and exams are *NOT* particularly difficult.  Routinely disorganized.  Strongly recommended"
Murray Goldberg ,3.0,3.0,N/A,"When the professor is absent for more than a month during a 4-month term, nothing can be interesting -it's because he is the CEO of his own company... Maybe we have not paid enough to have a full time professor."
Murray Goldberg ,3.5,4.0,N/A,Can't really ask for more. He said he loves teaching. Exams are hard.
Murray Goldberg ,1.5,4.0,N/A,"Not organized, comes poorly prepared to class, rumbling, difficult to follow in lectures."
Murray Goldberg ,1.0,4.0,N/A,"Absolutely terrible! The workload unjustified, and examples non-sensical."
Murray Goldberg ,4.5,1.0,N/A,Very helpful and very fun. One of the best prof in compsci
Murray Goldberg ,5.0,2.0,N/A,"great prof, usefull and interesting course"
Murray Goldberg ,4.5,3.0,N/A,"Busy on his CEO job, so have little time for the course, but good at teaching"
Dale Peterson ,1.0,3.0,A,"exams are interesting. that said he isn't a miracle worker, it's calculus and you need to do your own studying. If class was mandatory I wouldn't take him, but if you know calculus inside out and skip class he's passable"
Dale Peterson ,1.5,4.0,N/A,really boring
Dale Peterson ,1.0,5.0,N/A,Just terrible.
Dale Peterson ,2.5,4.0,D,"Prof. Peterson is a brilliant man, but unfortunately, this doesn't translate to his teaching skills. He has a bad habit of cramming content onto a single blackboard making it difficult to read, and he still mumbles to the class. He did however recently move towards a typed exam papers. Based off past reviews here, he has shown large improvement."
Dale Peterson ,4.0,3.0,N/A,He makes good explanation to every point we need to learn
Dale Peterson ,1.5,4.0,N/A,"Awful prof, you will NOT learn a thing from him."
Dale Peterson ,1.0,3.0,N/A,"He has no office hours, and he doesn't reply to e-mails very well. He seems to be busy after lectures to ask questions and doesn't show up to lectures until 2-3 minutes beforehand. His lectures are long, and although he is very knowledgeable, his explanations aren't always clear. Also, he uses the blackboard and his writing can get very messy."
Dale Peterson ,1.0,3.0,N/A,"Stats major so I've taken a lot of Math courses. Peterson is definitely the worst prof I've never had. His writing are messy and lectures are boring and useless. He is knowledgeable, but  he is not good at teaching. If you wanna get ok mark, READ the textbook by yourself."
Dale Peterson ,3.5,3.0,N/A,I do not understand why he gets such a bad rep. He is really clear in his teaching and passionate about his subject. His office hours are fantastic.
Dale Peterson ,3.5,3.0,N/A,Always nice and helpful the few times I talked to him in-class. Doesn't use iclicker. Lectures are understandable but not needed to get a decent grade.  Course website is very helpful with plenty of information and problems.                     
Dale Peterson ,1.0,5.0,N/A,I was verbally abused by this man. He should not be teaching. I strongly urge you to be careful if you are talking to him alone in person.
Dale Peterson ,1.0,5.0,N/A,Really boring and talks too much about something pretty obvious instead of core concepts
Dale Peterson ,5.0,3.0,N/A,"A fast talker, but a good teacher."
Dale Peterson ,3.5,3.0,B,Prof Peterson gets a bad rep. Lots of students don't like him because he doesn't take their crap when he is teaching. (i.e. if people are talking when he is lecturing he tells them off). He is a good math prof where it matters. He is knowledgeable and good at proving where the math comes from instead of just giving formulas. go to his office hours!
Dale Peterson ,1.0,5.0,N/A,Horrible..... Just plain horrible
Dale Peterson ,1.0,5.0,N/A,"DO NOT TAKE! WORST PROF EVER AT UBC! he fell asleep in front of me during an office hour, very unprofessional and could not answer my questions"
Dale Peterson ,1.0,5.0,N/A,"the worst prof I've ever had at UBC, no comparison, unbeatable! rude in class, ignore students' questions,etc. He almost made me give up math. My nightmare at UBC"
Dale Peterson ,1.0,5.0,N/A,"writing this review in class, this is the worst prof I have ever had."
Dale Peterson ,1.0,5.0,N/A,"Enjoys rushing through materials, and unwilling to match the learning pace of students. Results in tendency to NOT answer questions, and jarring differences in exam vs course materials. Also has a fondness for mumbling, hence often blames students for ignoring his instructions (even though his audible range is 3 feet in front of him). AVOID! AVOID!"
Dale Peterson ,1.0,5.0,N/A,AVOID. AT. ALL. COST.
Kate Sirluck ,1.0,5.0,N/A,I trusted all those good reviews but I felt the exact opposite...
Kate Sirluck ,5.0,4.0,N/A,"Katherine Sirluck is amazing. She sincerely cares for the wellbeing and improvement of every students' work, strives for the best way to be helpful to her students, and writes the best constructive feedback that students can actually improve from. She is by far the most insightful professor I have ever taken a class in. I learned so much from her."
Kate Sirluck ,5.0,3.0,N/A,"Dr Sirluck is so engaging and inspiring! She chooses great literary works to study, shares with us her reading of the work, and encourages everyone to share their own interpretation, accepting all of them despite how vastly different they may be. She's very critical but leaves lots of good feedback, and prompts us to think further in discussions."
Kate Sirluck ,5.0,3.0,A+,"Sirluck is incredible, not least because she's able to make 17th century lit a fascinating subject; her lectures are downright masterworks of eloquence, though if you don't pay attention you will lose the plot; the class average was quite high, so she is not too tough a marker, or rather she is generous and open-minded, unlike many profs out there"
Kate Sirluck ,5.0,3.0,N/A,"Honestly, one of the best professors I've had to date. I've never been overly interested in classical literature before, but she took texts that bored me to death when I'd been forced to study them before and lit them on fire. She's great."
Kate Sirluck ,5.0,3.0,A,"These reviews are the reason I enrolled in English 220, I was looking for something along those lines for an elective and couldn't miss the chance. Let me tell you, it's all true. Dr. Sirluck is simply the best. The course changed the way I relate to the world by encouraging me to think about it through the eyes of literature and history. Take it!"
Kate Sirluck ,5.0,3.0,N/A,"Really, really good lecturer. I've never really been into classical literature before, but I thoroughly enjoyed going to her classes."
Kate Sirluck ,5.0,4.0,N/A,"Top five if not the top of all English profs throughout my years at UBC. Highly recommend. Above all, shes fair, quick with good advice, funny and brilliant!"
Kate Sirluck ,4.0,3.0,N/A,"Super fun to listen to. Makes the texts come alive with her theatrical, dramatic readings and always engages students. She does make a ton of references that you will not get if you don't do the readings, but will undoubtedly accept any views that you have as long as you back them up. Very encouraging of independent thought, and quite funny."
Kate Sirluck ,5.0,3.0,A-,"Dr. Sirluck renewed my passion for my degree. Her intelligence and knowledge about Shakespeare was truly inspirational. I learned so much in every lecture and she was genuinely respectful of students, wanted to help you learn and succeed, and was born to be a teacher. Her sense of humour made every class enjoyable. The best prof I've ever had."
Kate Sirluck ,5.0,3.0,A,"Sirluck is without a doubt one of the best profs i've ever had. Coming into the class, I was worried it would be boring (literature up to the 18th century) but Sirluck made each reading and lecture super interesting! She allowed student discussion to bring up points she might not agree with, but still treated the opinions as valuable."
Kate Sirluck ,5.0,1.0,A,Professor Sirluck is the best professor of all time... aside from maybe one or two others.  Definitely the most charismatic and enthusiastic.
Kate Sirluck ,4.5,3.0,N/A,Prof. Sirluck is an amazing lecturer! I felt like I left every class having learned a lot (which can be pretty rare with a lot of English profs). Classes are always interesting and engaging and you can tell she's really passionate about the material. Very fair marker. Definitely take her class if you get the chance.
Kate Sirluck ,3.0,2.0,N/A,"Her lectures are quite informative, but I really don't understand what all the hype is about. There are many English profs at UBC who are as equally, if not more, insightful and interesting. I personally found her to be quite intimidating and condescending during office hours as well."
Kate Sirluck ,5.0,3.0,N/A,"Dr. Sirluck was fantastic-- interesting lectures with lots of discussion, really made an effort to make everything interesting. She is a very fair marker and gives great feedback. If you put in the extra work, it does not go unnoticed! She's absolutely fabulous."
Kate Sirluck ,4.5,2.0,N/A,"Lectures flow organically and are highly interesting and engaging. She is brilliant, witty, and has an amazing grip on the content, but is not intimidating. Rather she is inspiring and fosters a wonderful creative environment. Easy marker too, which is so rare for a prof this good! Being in her class is a privilege, I can't wait to take more."
Kate Sirluck ,5.0,3.0,N/A,"Prof Sirluck is absolutely in LOVE with Shakespeare, and her passion is contagious! Really encourages participation, had mini-performance groups and marks fairly based on the clarity and strength of your argument, rather than whether she agrees with it or not. She's the kind of teacher you dream of having!!"
Kate Sirluck ,4.5,2.0,N/A,She's a fair marker and I loved her classes. She made Shakespeare fun and lectures were very detailed. You'll learn a lot
Kate Sirluck ,5.0,2.0,N/A,She reminds me of Kate Bush—she is the Kate Bush of the English Department. Lovely. Wonderful. Somewhat eerie.
Kate Sirluck ,5.0,2.0,N/A,"Was wary after the first few classes as she seemed very opinionated, but quickly changed my mind! Extremely passionate about Shakespeare but is willing to accept any view or opinion as long as you have a solid argument for it. Despite critical feedback on assignments, she marks fairly well depending on the strength of your argument. Great prof!"
Michael O'Hagan ,3.0,3.0,A+,Content of class is the same for every section. The class was mainly him talking bout the french language and its history and then a group in-class exercises for practice that were actually useful but don't count for grade. If you want a good grade you gotta work outside class. Class was boring tho.
Michael O'Hagan ,4.0,2.0,A+,"Professor O'Hagan may seem a little self-important at times, but I honestly don't think that it's that bad, he's just a realistic dude. Honestly, he wants you to do well, and he'll give you every opportunity to get an A if you do the homework (which isn't heavy). He's also very specific about what you need to do, and it isn't that hard."
Michael O'Hagan ,1.0,5.0,N/A,Worst class you'll take at UBC
Michael O'Hagan ,5.0,2.0,N/A,Dr. O'Hagan was such a sweetheart I loved having him as a professor. He could be a little condescending at times but I felt that he really cared about whether or not his students understood his lectures. Definitely would recommend.
Michael O'Hagan ,2.5,5.0,N/A,"Was a B student in French before O'Hagan and now I am barely passing. I think he makes his tests much harder than any previous teachers I have had. Same goes for his compositions, which are very difficult and marks hard on them.    50 % for a final? And at his difficulty? good bye gpa :( Avoid if you can."
Michael O'Hagan ,2.5,3.0,A,"Decent prof, bad guy. 3 Tests: ALL functions, nature of words. Other lessons hardly tested. He likes French & is decently clear, so an A or B is doable. But he's snobby, blunt & unaccommodating.  He lost my test, no apology. Expressed doubt toward my French ability based on previous grades years ago - so unencouraging. Got an A tho. Take that. "
Michael O'Hagan ,2.0,4.0,A,Great prof!
Michael O'Hagan ,5.0,3.0,N/A,"At first, he was intimidating but throughout the course he has gone to show how much passion he has for the subject. He was very helpful when asked and really was very dedicated to the subjects on hand. I truly enjoyed the class and think he is a wonderful character and a great prof!"
Michael O'Hagan ,4.0,3.0,N/A,"Prof. O'Hagan knows the french language, linguistics, and general language history very well.You will get a lot of use of the textbook, and the online site. if you want to achieve high marks in his class, it is not hard but you have to put in the work like all other classes. He can be a little cranky if you approach him before class, but afters ok"
Michael O'Hagan ,5.0,3.0,N/A,"Great prof! Very grammar focused, but teaches it well. As a science student, I was worried that it might drop my GPA but my French writing has become much better after attending this class and I have no regrets taking it."
Michael O'Hagan ,5.0,3.0,N/A,"Great prof! Explains things perfectly and really puts obvious effort into his lessons.He won't use the textbook you have to buy, but he makes that clear. He does follow the online one. If you are trying to get easy marks, this is not the class for you. He makes sure you deserve your mark, and that is part of why he's such a great prof."
Michael O'Hagan ,5.0,2.0,N/A,"O'Hagan teaches French and its grammar very clearly even for those who don't know grammar in say English. And since his native language is English, he knows where anglophone students are coming from. So he knows when to give a translation for a difficult word, unlike the native french profs. I wish he taught all the french grammar courses."
Michael O'Hagan ,2.0,5.0,N/A,If you do not have prior experience in a French immersion setting do not take O'Hagan's class. His primary focus is grammar. Extremely challenging to do well without a solid foundation in French (above and beyond high-school/college level exposure). Avoid. Avoid. Avoid.
Michael O'Hagan ,2.0,3.0,N/A,Seems like a knowledgeable and passionate man for a French professor but teaches grammar lessons orally with little or no use of visual aid. He also digresses at length about material marginally related to the course. Attendance was not that helpful for test review and independent learning is necessary for success in course.
Michael O'Hagan ,4.0,3.0,N/A,"O'Hagan is a good teacher. I can't say his class was interesting, but that is the fault of the extremely dry course material. He is clear and willing to go over things multiple times. He is a fair marker, as the marks on compositions are calculated mathematically by the number of errors made."
Michael O'Hagan ,3.5,5.0,N/A,"It's obvious that he is passionate about the language, and very familiar with grammar rules. It is tough to ask him questions when you don't understand something though, because he tends to get caught up in the grammatical errors of your question itself, and then get completely sidetracked. Tough marker too, do not take this class for easy marks!"
Michael O'Hagan ,5.0,3.0,N/A,"Professor O'Hagan is very detailed, informative, and engaging. I'm pursuing French above the 102 level and I'm hoping to find a lecture he's teaching."
Michael O'Hagan ,5.0,3.0,N/A,"I could tell many in my class didn't enjoy Professor O'Hagan's teaching, but I feel very fortunate to have attended. Maybe his old-fashioned mannerisms make him an awkward teacher, but his instruction was meticulous and interesting. He is definitely the best professor I've ever had."
Michael O'Hagan ,3.0,2.0,N/A,"Kind and respectable man but not exactly the best at teaching :( His English accent is quite noticeable despite his fluency in French, and sometimes it's a bit unclear of what he's talking about. Markwise, he's quite reasonable, I ended up with an A-."
Michael O'Hagan ,3.5,4.0,N/A,Willing to go out of his way to help students understand the material. Passionate about the language. Loud and enthusiastic.
Gail Murphy ,5.0,3.0,N/A,Excellent prof! Well-organized course materials and always helpful
Gail Murphy ,5.0,1.0,N/A,Great prof Always there to help when you need it. Just sent and e-mail and she was always there from me.
Gail Murphy ,4.5,4.0,N/A,Great prof. Course gets tough and confusing sometimes but she's always there for you...
Gail Murphy ,4.5,3.0,N/A,Lecture is slow and boring but prof is clear. Very helpful office hours.
Gail Murphy ,4.0,3.0,A-,"Extremely knowledgeable, spends tons of effort helping students learn, effective in teaching the material (she goes really fast - but I think it's because there's a lot of ground to cover!). Really cool personality and is one of the nicest profs! Office hours helped a lot in gaining understanding/help with the course."
Gail Murphy ,4.0,2.0,N/A,The lectures were clear and she was accessible. There were too many lecture labs for my taste though.
Gail Murphy ,4.5,3.0,N/A,"Dr. Murphy did a fantastic job teaching CPSC 210. It was not an easy course, but she was really good at explaining concepts. Go to her office hours if you're confused about something. She's a total sweetheart and would be more than willing to help you. ABout the class, it's a bit difficult, but doable."
Gail Murphy ,5.0,1.0,N/A,"Best prof ever! She is very patient with her students, she responds very fast to either email or Piazza questions. Also very considerate of her students, one of the nicest profs ever. The tests are reasonable."
Gail Murphy ,5.0,3.0,N/A,Very clear & helpful in understanding material.
Gail Murphy ,5.0,3.0,N/A,Our class was hillarious and she did quite an effective job of teaching the subject. (running dinosaur anyone?)
Gail Murphy ,1.5,4.0,N/A,"Lectures were of little use both for the project and for future. Forget about asking her questions, she'll say things like ""reinstall"", ""try again"", ""check the web""..."
Gail Murphy ,3.0,5.0,N/A,"Lost 6% after taking the final, must have been some kind of scaling at the end. Didn't appreciate that."
Gail Murphy ,3.0,5.0,N/A,No Comments
Gail Murphy ,5.0,1.0,N/A,Awesome teacher. One of the best course I've taken.
Gail Murphy ,5.0,1.0,N/A,whatcha guys talking about? shes cool!
Gail Murphy ,3.0,4.0,N/A,"Boring voice, but she knows her stuff."
Gail Murphy ,5.0,3.0,N/A,No Comments
Gail Murphy ,2.0,5.0,N/A,she is okay in class. but took 5% off my course for forgeting to attach 2 pics with the assignment
Gail Murphy ,3.0,3.0,N/A,Quite arrogant and confrontational. Wouldn't want to meet her in a back alley...
Gail Murphy ,4.5,2.0,N/A,Great teacher who loves to help her students.
Bob Woodham ,1.0,5.0,N/A,"His notes are terrible and useless. To make matters worse, the textbook he uses is also garbage. Don't take this course if you like to learn on your own."
